vehicle_id,vehicle_number,lap,lap_tire_stress,total_g,avg_speed,lap_time_est,dist,stress_delta,time_delta,stress_delta_pct,stress_delta_safe,roi_efficiency,roi_category
GR86-002-002,2,1,7535.7792880723355,0.5840545877840739,95.54401453845158,24.787800604859314,626.0,4025.912334575688,22.152048108425646,114.70270491492387,4025.912334575688,-5.502367231938339,TERRIBLE
GR86-002-002,2,2,3608.9324420836224,0.5118875765005707,96.61870731284904,14.225914887079213,369.0,99.06548858697488,11.590162390645544,2.822485578499849,99.06548858697488,-116.99495511466561,TERRIBLE
GR86-002-002,2,3,10318.29583912721,0.7910078224628386,134.5266691038916,10.379275675675544,368.0,6808.428885630562,7.743523179241874,193.97968572135693,6808.428885630562,-1.137343623517147,TERRIBLE
GR86-002-002,2,4,11349.79405239973,0.8156995885662772,136.5494559460324,10.185785722769797,365.0,7839.927098903082,7.550033226336128,223.36821317664715,7839.927098903082,-0.9630233969130256,TERRIBLE
GR86-002-002,2,5,11690.433938773058,0.827630951769816,137.66496310303677,10.211984814331347,369.0,8180.56698527641,7.576232317897677,233.07342112004144,8180.56698527641,-0.9261255768131439,TERRIBLE
GR86-002-002,2,6,8859.20727548883,0.7025334491911697,123.83701076163662,11.385100103692922,369.0,5349.340321992183,8.749347607259253,152.40863522370813,5349.340321992183,-1.6355937518667443,TERRIBLE
GR86-002-002,2,7,1950.7208794417593,0.3695082665726101,85.45001988073693,18.942535446204865,381.0,-1559.1460740548882,16.306782949771197,-44.42179987767384,-1559.1460740548882,-10.458791014598118,TERRIBLE
GR86-002-002,2,8,2122.4232732911887,0.39268568254696035,91.00580402377885,14.944035874439232,367.0,-1387.4436802054588,12.308283378005562,-39.52980835422382,-1387.4436802054588,-8.871194956311953,TERRIBLE
GR86-002-002,2,9,4473.373121705307,0.5751560470166713,102.65921994418801,13.338474331163939,367.0,963.5061682086598,10.70272183473027,27.451358725970582,963.5061682086598,-11.108098928550351,TERRIBLE
GR86-002-002,2,10,11562.77768619277,0.821625853366619,137.88054261911506,10.175113893857956,368.0,8052.910732696123,7.539361397424287,229.4363529840794,8052.910732696123,-0.9362281102674164,TERRIBLE
GR86-002-002,2,11,11476.663115949523,0.821251192081296,137.68455716062618,10.104542401343283,365.0,7966.796162452875,7.468789904909613,226.98285342457453,7966.796162452875,-0.937489770368377,TERRIBLE
GR86-002-002,2,12,11957.15676894601,0.8308402995724951,138.20517862655916,10.158567440755354,368.0,8447.289815449363,7.522814944321684,240.67265019928718,8447.289815449363,-0.8905595887764033,TERRIBLE
GR86-002-002,2,13,11766.40990633745,0.8230075274225487,138.1666054397524,10.147482563338176,368.0,8256.542952840802,7.511730066904507,235.2380606511411,8256.542952840802,-0.9097911934582705,TERRIBLE
GR86-002-002,2,14,11547.814884927691,0.8208160026243995,138.11982747621678,9.966330492424117,361.0,8037.947931431044,7.330577995990447,229.01004619059333,8037.947931431044,-0.9119962033251615,TERRIBLE
GR86-002-002,2,15,11517.73722957631,0.8209148622250985,138.61961172779587,9.993976234549354,363.0,8007.870276079663,7.358223738115685,228.15310045020234,8007.870276079663,-0.918873993263285,TERRIBLE
GR86-002-002,2,16,11365.372658532662,0.8233861297413609,138.62240959056044,9.872147866397116,358.0,7855.505705036015,7.2363953699634465,223.81206493340423,7855.505705036015,-0.9211877174660228,TERRIBLE
GR86-002-002,2,17,11736.53321803781,0.8259137986135011,138.3398682100343,10.121751781472552,367.0,8226.666264541163,7.485999285038883,234.38684068481516,8226.666264541163,-0.9099675426612689,TERRIBLE
GR86-002-002,2,18,11833.460984700674,0.8264122644210359,138.15388907347227,10.127927069057849,366.0,8323.594031204026,7.4921745726241795,237.14842019614966,8323.594031204026,-0.9001129253225268,TERRIBLE
GR86-002-002,2,19,11838.079250613524,0.8296889656307328,138.18649769179186,10.12501282433629,367.0,8328.212297116876,7.48926032790262,237.27999971110103,8328.212297116876,-0.8992638588830534,TERRIBLE
GR86-002-002,2,20,11664.034932639523,0.8229596877481343,138.04025281970286,10.118500477554797,366.0,8154.167979142875,7.482747981121127,232.32128417344762,8154.167979142875,-0.917659287895572,TERRIBLE
GR86-002-002,2,21,3509.8669534966475,0.8160637650628721,146.8484287766853,2.635752496433669,99.0,0.0,0.0,0.0,1.0,-0.0,WASTEFUL
GR86-002-002,2,22,11638.106996728595,0.8256349244672643,138.57284324942032,10.014216924910478,363.0,8128.240043231947,7.378464428476809,231.58256853965136,8128.240043231947,-0.9077567086149916,TERRIBLE
GR86-002-002,2,23,18918.01850999935,0.8009909973652716,137.6086829428223,17.602886375874785,633.0,15408.151556502704,14.967133879441116,438.99531693509306,15408.151556502704,-0.9713776389436236,TERRIBLE
GR86-002-002,2,24,15982.301639863605,0.6612085151082719,118.2406711891856,25.819795471146417,737.0,12472.434686366956,23.18404297471275,355.35348922390057,12472.434686366956,-1.8588225601256634,TERRIBLE
GR86-002-002,2,25,6078.146188837277,0.5804761605310222,109.11615221503466,14.130622317596373,373.0,2568.2792353406294,11.494869821162704,73.17312221142808,2568.2792353406294,-4.475708740306872,TERRIBLE
GR86-002-002,2,26,22.815931761757632,0.13425127301685877,29.457619774847217,11.507108886107481,75.0,-3487.0510217348897,8.871356389673812,-99.3499488138994,-3487.0510217348897,-2.5440856283370654,TERRIBLE
GR86-003-017,17,1,8635.168892130503,0.6066548364972392,100.77823001859649,23.481920982504484,608.0,8617.079906101415,13.622251843885111,47637.16380920563,8617.079906101415,-1.580843161758281,TERRIBLE
